,loc,mask
0,data/agg_data/with_mask_1.jpg,1
1,data/agg_data/with_mask_10.jpg,1
2,data/agg_data/with_mask_100.jpg,1
3,data/agg_data/with_mask_1000.jpg,1
4,data/agg_data/with_mask_1001.jpg,1
5,data/agg_data/with_mask_1002.jpg,1
6,data/agg_data/with_mask_1003.jpg,1
7,data/agg_data/with_mask_1004.jpg,1
8,data/agg_data/with_mask_1005.jpg,1
9,data/agg_data/with_mask_1006.jpg,1
10,data/agg_data/with_mask_1007.jpg,1
11,data/agg_data/with_mask_1008.jpg,1
12,data/agg_data/with_mask_1009.jpg,1
13,data/agg_data/with_mask_101.jpg,1
14,data/agg_data/with_mask_1010.jpg,1
15,data/agg_data/with_mask_1011.jpg,1
16,data/agg_data/with_mask_1012.jpg,1
17,data/agg_data/with_mask_1013.jpg,1
18,data/agg_data/with_mask_1014.jpg,1
19,data/agg_data/with_mask_1015.jpg,1
20,data/agg_data/with_mask_1016.jpg,1
21,data/agg_data/with_mask_1017.jpg,1
22,data/agg_data/with_mask_1018.jpg,1
23,data/agg_data/with_mask_1019.jpg,1
24,data/agg_data/with_mask_102.jpg,1
25,data/agg_data/with_mask_1020.jpg,1
26,data/agg_data/with_mask_1021.jpg,1
27,data/agg_data/with_mask_1022.jpg,1
28,data/agg_data/with_mask_1023.jpg,1
29,data/agg_data/with_mask_1024.jpg,1
30,data/agg_data/with_mask_1025.jpg,1
31,data/agg_data/with_mask_1026.jpg,1
32,data/agg_data/with_mask_1027.jpg,1
33,data/agg_data/with_mask_1028.jpg,1
34,data/agg_data/with_mask_1029.jpg,1
35,data/agg_data/with_mask_103.jpg,1
36,data/agg_data/with_mask_1030.jpg,1
37,data/agg_data/with_mask_1031.jpg,1
38,data/agg_data/with_mask_1032.jpg,1
39,data/agg_data/with_mask_1033.jpg,1
40,data/agg_data/with_mask_1034.jpg,1
41,data/agg_data/with_mask_1035.jpg,1
42,data/agg_data/with_mask_1036.jpg,1
43,data/agg_data/with_mask_1037.jpg,1
44,data/agg_data/with_mask_1038.jpg,1
45,data/agg_data/with_mask_1039.jpg,1
46,data/agg_data/with_mask_104.jpg,1
47,data/agg_data/with_mask_1040.jpg,1
48,data/agg_data/with_mask_1041.jpg,1
49,data/agg_data/with_mask_1042.jpg,1
